t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
169,0.4745614150060937,1.6816989055870812,0,0,0,1.0512475967407227,0.6850192546844482,0.0029709874652326107,none
170,0.21458749569355623,1.6816989055870812,0,0,0,0.8929679989814758,0.6970217227935791,0.003013160778209567,none
171,0.2354856537044196,1.6816989055870812,0,0,0,0.8967723846435547,0.7455177903175354,0.0027351549360901117,none
172,0.3814008545766665,1.6816989055870812,0,0,0,0.9636172652244568,0.86037278175354,0.002772354753687978,none
173,0.03413155670796189,1.6816989055870812,0,0,0,0.7655844688415527,0.696250319480896,0.0025164326652884483,none
174,0.05558317332223172,1.6816989055870812,0,0,0,0.7611095905303955,0.898457944393158,0.0025342069566249847,none
175,0.0,1.6816989055870812,0,0,0,0.5890460014343262,0.6945750117301941,0.002127034356817603,none
176,0.0,1.6816989055870812,0,0,0,0.7146110534667969,0.8461471796035767,0.0024589274544268847,none
177,0.43534121912883905,1.6816989055870812,0,0,0,0.846387505531311,0.9411721229553223,0.0031422663014382124,none
178,0.5924229187671726,1.6816989055870812,0,0,0,1.1023412942886353,0.7938011288642883,0.0030531578231602907,none
179,0.028567453702662567,1.6816989055870812,0,0,0,0.7594869136810303,0.8110508918762207,0.0018387328600510955,none
180,0.08497401464084667,1.6816989055870812,0,0,0,0.578748345375061,0.9147207736968994,0.0022454194258898497,none
181,0.918725519219378,1.6816989055870812,0,0,0,0.7221537232398987,1.0637558698654175,0.0027657337486743927,none
182,0.47858745868106667,1.6816989055870812,0,0,0,0.7695151567459106,0.9718365669250488,0.0028416041750460863,none
183,0.7761429627888576,1.6816989055870812,0,0,0,0.650331437587738,1.0454866886138916,0.002190040424466133,none
184,0.0,1.6816989055870812,0,0,0,0.6779243350028992,0.6647925972938538,0.002613118849694729,none
185,0.623403209538457,1.6816989055870812,0,0,0,0.6248868703842163,1.0165890455245972,0.002144741825759411,none
186,0.20848754843485626,1.6816989055870812,0,0,0,0.5460799336433411,0.9380889534950256,0.0026564490981400013,none
187,0.559051276338355,1.6816989055870812,0,0,0,0.5920137166976929,1.0044139623641968,0.0022793870884925127,none
188,0.0,1.6816989055870812,0,0,0,0.47505587339401245,0.8734889030456543,0.0018652277067303658,none
189,0.0,1.6816989055870812,0,0,0,0.5914185643196106,0.6523104906082153,0.0016477230237796903,none
190,1.935473926199542,1.6816989055870812,0,0,0,0.46209120750427246,1.2648266553878784,0.0015305908164009452,none
191,0.0,1.6816989055870812,0,0,0,0.48667892813682556,0.7031146287918091,0.0017291017575189471,none
192,1.6996535664395982,1.6816989055870812,0,0,0,0.42691874504089355,1.2202105522155762,0.0018139737658202648,none
193,0.010811013882498624,1.6816989055870812,0,0,0,0.5170084238052368,0.9006894826889038,0.00158696121070534,none
194,0.6268554501878456,1.6816989055870812,0,0,0,0.5204687118530273,1.017242193222046,0.002057428238913417,none
